IM1 3EF,54.1580091,-4.470061
IM8 3DT,54.3358513,-4.3981825
IM3 1LB,54.1804999,-4.4481679
IM8 3DR,54.31923,-4.3972458
IM9 6ER,54.0896638,-4.7501562
IM4 4LA,54.165714,-4.4992157
IM9 1HS,54.056772,-4.6166243
IM2 2PA,54.1604551,-4.4866131
GY7 9HS,49.4394137,-2.639732
GY2 4LH,49.4875835,-2.5630409
GY4 6HN,49.4302203,-2.5638456
JE2 6QT,49.1683493,-2.068489
JE3 2FN,49.2462508,-2.2485009
JE3 2EH,49.232129,-2.2218381
JE3 2GR,49.2487276,-2.2427838
JE3 6BH,49.2091482,-2.0570954
JE3 3DA,49.2239132,-2.1648084
IM1 3DU,54.1419782,-4.4675138
IM4 3NA,54.1928913,-4.6443849
IM8 3DN,54.3149076,-4.3753608
IM3 4NA,54.172191,-4.4380848
IM9 6EE,54.0883186,-4.758249
IM9 2EG,54.0877969,-4.6249238
IM9 4LH,54.1081623,-4.7167261
IM7 5AH,54.2577649,-4.5129517
IM4 7ED,54.2197569,-4.4645737
IM4 4RD,1,1
IM2 3QX,54.1567982,-4.4965031
IM9 6EL,54.0859676,-4.7454769
IM4 4LB,54.1771721,-4.542771
IM3 4LA,54.1758864,-4.4508988
IM9 1HT,54.0555371,-4.6258372
IM5 1DQ,54.2231373,-4.6849054
IM2 7PA,54.1848335,-4.483693
GY1 1QF,49.458462,-2.5454586
GY6 8NL,49.4421356,-2.5860943
GY8 0BD,49.4351693,-2.6411387
GY2 4LQ,49.4943715,-2.5727988
GY3 5DR,49.4918564,-2.5364541
GY5 7DS,49.4552739,-2.5849126
GY1 1QL,49.4571036,-2.5435945
GY6 8NB,49.443166,-2.5797611
GY4 6NS,49.4359401,-2.5713453
GY8 0AN,49.4330734,-2.6395392
GY3 5LW,49.5006418,-2.5427511
GY1 1QE,49.4506709,-2.5342659
GY5 7UN,49.4666271,-2.5986005
GY7 9RZ,49.4449495,-2.615787
JE2 7PG,49.1696841,-2.0622902
JE2 7QL,49.1812898,-2.0869759
JE3 2LT,49.2414316,-2.2113152
JE3 8GQ,49.1798455,-2.2286566
JE3 1JQ,49.223338,-2.1369284
JE3 7DB,49.2283549,-2.1838866
JE3 1LN,49.2085329,-2.1507811
JE2 7LD,49.1817251,-2.0821879
JE3 6ED,49.2061623,-2.0560761
JE3 6HW,49.2231586,-2.0455622
JE2 7LF,49.1749059,-2.0834113
JE3 3AS,49.2418498,-2.1823431
JE3 5JB,49.2229704,-2.0776834
JE2 7PA,49.2007507,-2.080586
IM6 1ER,54.2393053,-4.5435075
